Ardent1,7200
Ardent2,11200
Ardent3,11200
Ardent4,8000
Ardent5,11200
Ardent6,9600
Ardent7,11200
Ardent8,12800
Ardent9,12400
Ardent10,7200
Ardent11,11200
Ardent12,8800
Ardent13,8000
Ardent14,11200
Ardent15,9600
Ardent16,11200
Ardent17,12800
Ardent18,12400
Ardent19,12400
Ardent20,11200
Ardent21,8800
Ardent22,8000
Ardent23,11200
Ardent24,9600
Ardent25,11200
Ardent26,12800
Ardent27,12400
Ardent28,7200
Ardent29,11200
Ardent30,8800
Ardent31,8000
Ardent32,8800
Ardent33,20000
Ardent34,11200
Ardent35,12800
Ardent36,12400
Ardent37,1750
Ardent38,20000
