Ardent1,39.81372,-104.933875
Ardent2,34.198522,-117.3756
Ardent3,38.451794,-77.989321
Ardent4,34.600933,-86.958413
Ardent5,37.9086,-121.271413
Ardent6,44.16864,-94.001903
Ardent7,41.27389,-95.936973
Ardent8,40.002684,-76.711711
Ardent9,45.366716,-122.796368
Ardent10,34.061765,-117.292624
Ardent11,41.215179,-111.997595
Ardent12,39.771424,-104.975535
Ardent13,46.059036,-96.617257
Ardent14,29.732225,-95.237361
Ardent15,32.849152,-97.35746
Ardent16,33.63354,-96.604075
Ardent17,37.707825,-97.328948
Ardent18,38.049903,-97.341255
Ardent19,41.223361,-95.954189
Ardent20,41.429638,-96.49984
Ardent21,44.441653,-92.271379
Ardent22,44.727164,-92.852107
Ardent23,44.952234,-93.477248
Ardent24,45.686504,-92.962419
Ardent25,30.436028,-91.209739
Ardent26,37.893441,-89.816971
Ardent27,38.890354,-90.186933
Ardent28,42.575812,-87.899285
Ardent29,35.082238,-85.273314
Ardent30,39.94394,-83.108152
Ardent31,40.645688,-82.241162
Ardent32,40.760557,-75.185281
Ardent33,40.736004,-75.543861
Ardent34,41.111362,-75.38177
Ardent35,42.619044,-73.763883
Ardent36,42.565811,-71.53271
Ardent37,32.829522,-83.620771
Ardent38,45.716796,-120.200876
